class_size,paid_seats,attendance_confirmations,course_type_gas,session_gas
1,1,1,138277,524097
2,2,2,122481,484960
5,5,3,122483,668764
20,20,11,122753,1656343
50,50,26,122755,3875085
100,100,51,123029,8313263
